X-axis,Y-axis
0.0,3.5
1.0,3.5
2.0,3.5
3.0,3.5
4.0,3.5
5.0,3.5
6.0,3.5
7.0,3.5
8.0,3.5
9.0,3.5
10.0,3.5
11.0,3.5
12.0,3.5
13.0,3.5
14.0,3.5
15.0,3.5
16.0,3.5
17.0,3.5
18.0,3.5
19.0,3.5
20.0,3.5
21.0,3.5
22.0,3.5
23.0,3.5
24.0,3.5
25.0,3.5
26.0,3.5
27.0,3.5
28.0,3.5
29.0,3.5
30.0,3.5
31.0,3.5
32.0,3.5
33.0,3.5
34.0,3.5
35.0,3.5
36.0,3.5
37.0,3.5
38.0,3.5
39.0,3.5
40.0,3.5
41.0,3.5
42.0,3.5
43.0,3.5
44.0,3.5
45.0,3.5
46.0,3.5
47.0,3.5
48.0,3.5
49.0,3.5
50.0,3.5
51.0,3.5
52.0,3.5
53.0,3.5
54.0,3.5
55.0,3.5
56.0,3.5
57.0,3.5
58.0,3.5
59.0,3.5
60.0,3.5
61.0,3.5
62.0,3.5
63.0,3.5
64.0,3.5
65.0,3.5
66.0,3.5
67.0,3.5
68.0,3.5
69.0,3.5
70.0,3.5
71.0,3.5
72.0,3.5
73.0,3.5
74.0,3.5
75.0,3.5
76.0,3.5
77.0,3.5
78.0,3.5
79.0,3.5
80.0,3.5
81.0,3.5
82.0,3.5
83.0,3.5
84.0,3.5
85.0,3.5
86.0,3.5
87.0,3.5
88.0,3.5
89.0,3.5
90.0,3.5
91.0,3.5
92.0,3.5
93.0,3.5
94.0,3.5
95.0,3.5
96.0,3.5
97.0,3.5
98.0,3.5
99.0,3.5
100.0,3.5
101.0,3.5
102.0,3.5
103.0,3.5
104.0,3.5
105.0,3.5
106.0,3.5
107.0,3.5
108.0,3.5
109.0,3.5
110.0,3.5
111.0,3.5
112.0,3.5
113.0,3.5
114.0,3.5
115.0,3.5
116.0,3.5
117.0,3.5
118.0,3.5
119.0,3.5
120.0,3.5
121.0,3.5
122.0,3.5
123.0,3.5
124.0,3.5
125.0,3.5
126.0,3.5
127.0,3.5
128.0,3.5
129.0,3.5
130.0,3.5
131.0,3.5
132.0,3.5
133.0,3.5
134.0,3.5
135.0,3.5
136.0,3.5
137.0,3.5
138.0,3.5
139.0,3.5
140.0,3.5
141.0,3.5
142.0,3.5
143.0,3.5
144.0,3.5
145.0,3.5
146.0,3.5
147.0,3.5
148.0,3.5
149.0,3.5
150.0,3.5
151.0,3.5
152.0,3.5
153.0,3.5
154.0,3.5
155.0,3.5
156.0,3.5
157.0,3.5
158.0,3.5
159.0,3.5
160.0,3.5
161.0,3.5
162.0,3.5
163.0,3.5
164.0,3.5
165.0,3.5
166.0,3.5
167.0,3.5
168.0,3.5
169.0,3.5
170.0,3.5
171.0,3.5
172.0,3.5
173.0,3.5
174.0,3.5
175.0,3.5
176.0,3.5
177.0,3.5
178.0,3.5
179.0,3.5
180.0,3.5
181.0,3.5
182.0,3.5
183.0,3.5
184.0,3.5
185.0,3.5
186.0,3.5
187.0,3.5
188.0,3.5
189.0,3.5
190.0,3.5
191.0,3.5
192.0,3.5
193.0,3.5
194.0,3.5
195.0,3.5
196.0,3.5
197.0,3.5
198.0,3.5
199.0,3.5
200.0,3.5
201.0,3.5
202.0,3.5
203.0,3.5
204.0,3.5
205.0,3.5
206.0,3.5
207.0,3.5
208.0,3.5
209.0,3.5
210.0,3.5
211.0,3.5
212.0,3.5
213.0,3.5
214.0,3.5
215.0,3.5
216.0,3.5
217.0,3.5
218.0,3.5
219.0,3.5
220.0,3.5
221.0,3.5
222.0,3.5
223.0,3.5
224.0,3.5
225.0,3.5
226.0,3.5
227.0,3.5
228.0,3.5
229.0,3.5
230.0,3.5
231.0,3.5
232.0,3.5
233.0,3.5
234.0,3.5
235.0,3.5
236.0,3.5
237.0,3.5
238.0,3.5
239.0,3.5
240.0,3.5
241.0,3.5
242.0,3.5
243.0,3.5
244.0,3.5
245.0,3.5
246.0,3.5
247.0,3.5
248.0,3.5
249.0,3.5
250.0,3.5
251.0,3.5
252.0,3.5
253.0,3.5
254.0,3.5
255.0,3.5
256.0,3.5
257.0,3.5
258.0,3.5
259.0,3.5
260.0,3.5
261.0,3.5
262.0,3.5
263.0,3.5
264.0,3.5
265.0,3.5
266.0,3.5
267.0,3.5
268.0,3.5
269.0,3.5
270.0,3.5
271.0,3.5
272.0,3.5
273.0,3.5
274.0,3.5
275.0,3.5
276.0,3.5
277.0,3.5
278.0,3.5
279.0,3.5
280.0,3.5
281.0,3.5
282.0,3.5
283.0,3.5
284.0,3.5
285.0,3.5
286.0,3.5
287.0,3.5
288.0,3.5
289.0,3.5
290.0,3.5
291.0,3.5
292.0,3.5
293.0,3.5
294.0,3.5
295.0,3.5
296.0,3.5
297.0,3.5
298.0,3.5
299.0,3.5
300.0,3.5
301.0,3.5
302.0,3.5
303.0,3.5
304.0,3.5
305.0,3.5
306.0,3.5
307.0,3.5
308.0,3.5
309.0,3.5
310.0,3.5
311.0,3.5
312.0,3.5
313.0,3.5
314.0,3.5
315.0,3.5
316.0,3.5
317.0,3.5
318.0,3.5
319.0,3.5
320.0,3.5
321.0,3.5
322.0,3.5
323.0,3.5
324.0,3.5
325.0,3.5
326.0,3.5
327.0,3.5
328.0,3.5
329.0,3.5
330.0,3.5
331.0,3.5
332.0,3.5
333.0,3.5
334.0,3.5
335.0,3.5
336.0,3.5
337.0,3.5
338.0,3.5
339.0,3.5
340.0,3.5
341.0,3.5
342.0,3.5
343.0,3.5
344.0,3.5
345.0,3.5
346.0,3.5
347.0,3.5
348.0,3.5
349.0,3.5
350.0,3.5
351.0,3.5
352.0,3.5
353.0,3.5
354.0,3.5
355.0,3.5
356.0,3.5
357.0,3.5
358.0,3.5
359.0,3.5
360.0,3.5
361.0,3.5
362.0,3.5
363.0,3.5
364.0,3.5
365.0,3.5
366.0,3.5
367.0,3.5
368.0,3.5
369.0,3.5
370.0,3.5
371.0,3.5
372.0,3.5
373.0,3.5
374.0,3.5
375.0,3.5
376.0,3.5
377.0,3.5
378.0,3.5
379.0,3.5
380.0,3.5
381.0,3.5
382.0,3.5
383.0,3.5
384.0,3.5
385.0,3.5
386.0,3.5
387.0,3.5
388.0,3.5
389.0,3.5
390.0,3.5
391.0,3.5
392.0,3.5
393.0,3.5
394.0,3.5
395.0,3.5
396.0,3.5
397.0,3.5
398.0,3.5
399.0,3.5
400.0,3.5
401.0,3.5
402.0,3.5
403.0,3.5
404.0,3.5
405.0,3.5
406.0,3.5
407.0,3.5
408.0,3.5
409.0,3.5
410.0,3.5
411.0,3.5
412.0,3.5
413.0,3.5
414.0,3.5
415.0,3.5
416.0,3.5
417.0,3.5
418.0,3.5
419.0,3.5
420.0,3.5
421.0,3.5
422.0,3.5
423.0,3.5
424.0,3.5
425.0,3.5
426.0,3.5
427.0,3.5
428.0,3.5
429.0,3.5
430.0,3.5
431.0,3.5
432.0,3.5
433.0,3.5
434.0,3.5
435.0,3.5
436.0,3.5
437.0,3.5
438.0,3.5
439.0,3.5
440.0,3.5
441.0,3.5
442.0,3.5
443.0,3.5
444.0,3.5
445.0,3.5
446.0,3.5
447.0,3.5
448.0,3.5
449.0,3.5
450.0,3.5
451.0,3.5
452.0,3.5
453.0,3.5
454.0,3.5
455.0,3.5
456.0,3.5
457.0,3.5
458.0,3.5
459.0,3.5
460.0,3.5
461.0,3.5
462.0,3.5
463.0,3.5
464.0,3.5
465.0,3.5
466.0,3.5
467.0,3.5
468.0,3.5
469.0,3.5
470.0,3.5
471.0,3.5
